ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1903555	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	29/720	179/18371	7.77923929865608e-11	3.1414331128098e-08	2.6843945150486e-08	Fcgr3/Fcer1g/Cd84/Ifngr1/Lilrb4a/Lilrb4a/Havcr2/Syk/Pik3r1/Tbc1d23/Cd14/Card9/Il1a/Sirpa/Arhgef2/Tlr6/Gpnmb/Clec4a1/Clec4a3/Clec4a2/Ptpn6/C5ar2/Tyrobp/Cd33/Adam8/Gas6/Nod2/Cyba/Mmp8	29
GO:0022407	GO:0022407	regulation of cell-cell adhesion	49/720	447/18371	7.96307506415665e-11	3.1414331128098e-08	2.6843945150486e-08	Cd28/Serpine2/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Gcnt2/Cd83/Syk/Pik3r1/Lgals3/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfrsf21/Tnfsf14/Emilin2/Zfp35/Socs6/Fermt3/Dock8/Il1rn/Notch1/Itga6/Spi1/Il1a/Sirpa/Gm9733/Gm5150/Il2/Tnfaip8l2/Lyn/Epha7/Laptm5/Fgl2/Rhoh/Gpnmb/Ptpn6/Tarm1/Adam8/Il15/Ets1/Ubash3b	49
GO:0030098	GO:0030098	lymphocyte differentiation	45/720	395/18371	1.36563080810519e-10	4.97299711197691e-08	4.24948922716458e-08	Cd28/Dock10/Inpp5d/Bcl2/Fcer1g/Ly9/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Psap/Dock2/Nlrp3/Tshr/Cd83/Syk/Pik3r1/Ppp3cb/Ptk2b/Gpr183/Il7r/Nfam1/Nckap1l/Bcl6/Runx1/Zfp35/Tcirg1/Entpd7/Spi1/Il1a/Tpd52/Il2/Chd7/Laptm5/Fgl2/Rhoh/Lfng/Clec4d/Ptpn6/Cracr2a/Pou2f2/Adam8/Gas6/Il15	45
GO:1903131	GO:1903131	mononuclear cell differentiation	48/720	441/18371	1.59664842299023e-10	5.39895259602555e-08	4.61347360116652e-08	Cd28/Dock10/Inpp5d/Bcl2/Fcer1g/Ly9/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Psap/Dock2/Nlrp3/Tshr/Cd83/Syk/Mef2c/Pik3r1/Ppp3cb/Ptk2b/Gpr183/Il7r/Nfam1/Nckap1l/Bcl6/Runx1/Zfp35/Tcirg1/Entpd7/Spi1/Il1a/Tpd52/Il2/Lyn/Chd7/Laptm5/Fgl2/Rhoh/Lfng/Clec4d/Ptpn6/Cracr2a/Pirb/Pou2f2/Adam8/Gas6/Il15	48
GO:0071706	GO:0071706	tumor necrosis factor superfamily cytokine production	29/720	185/18371	1.75884453782614e-10	5.55091336137931e-08	4.74332600622166e-08	Fcgr3/Fcer1g/Cd84/Ifngr1/Lilrb4a/Lilrb4a/Havcr2/Syk/Pik3r1/Tbc1d23/Cd14/Card9/Il1a/Sirpa/Arhgef2/Tlr6/Gpnmb/Clec4a1/Clec4a3/Clec4a2/Ptpn6/C5ar2/Tyrobp/Cd33/Adam8/Gas6/Nod2/Cyba/Mmp8	29
GO:0002460	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	41/720	343/18371	2.12057624938559e-10	5.86049951532902e-08	5.00787130887631e-08	Cd28/Inpp5d/Fcgr3/Fcer1g/Ly9/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Unc13d/Ighv1-47/Lyst/Mef2c/Ppp3cb/Il7r/Cyrib/Csf2rb/Nckap1l/Bcl6/Treml4/Rftn1/Tcirg1/Entpd7/Card9/Notch1/Il2/Bach2/Fgl2/C3ar1/Ptpn6/Cracr2a/Pirb/Pou2f2/Ctsc/Il21r/Irf7/Nod2/Rab27a	41
GO:0050867	GO:0050867	positive regulation of cell activation	44/720	386/18371	2.15990977716175e-10	5.86049951532902e-08	5.00787130887631e-08	Cd28/Inpp5d/Bcl2/Fcer1g/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Ighv1-47/Lyst/Cd83/Syk/Mef2c/Gpr183/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfsf14/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Cd38/Tlr6/Rhoh/Clec4d/Bloc1s3/Tyrobp/Ctsc/Adam8/Lamp1/Gas6/Il15/Nod2/Mmp8/Sh3kbp1	44
GO:0046631	GO:0046631	alpha-beta T cell activation	28/720	175/18371	2.22832681191218e-10	5.86049951532902e-08	5.00787130887631e-08	Cd28/Bcl2/Ly9/Slamf6/Hlx/Lilrb4a/Lilrb4a/Psap/Dock2/Nlrp3/Cd83/Syk/Wdfy4/Gpr183/Nckap1l/Bcl6/Runx1/Rasal3/Zfp35/Tcirg1/Entpd7/Il2/Clec4a1/Clec4a3/Clec4a2/Cracr2a/Tarm1/Il15	28
GO:0032680	GO:0032680	regulation of tumor necrosis factor production	28/720	176/18371	2.55341477804028e-10	6.36203450486458e-08	5.4364393307528e-08	Fcgr3/Fcer1g/Cd84/Ifngr1/Lilrb4a/Lilrb4a/Havcr2/Syk/Pik3r1/Tbc1d23/Cd14/Card9/Il1a/Sirpa/Arhgef2/Tlr6/Gpnmb/Clec4a1/Clec4a3/Clec4a2/Ptpn6/C5ar2/Tyrobp/Cd33/Gas6/Nod2/Cyba/Mmp8	28
GO:0002274	GO:0002274	myeloid leukocyte activation	33/720	238/18371	2.75358404932074e-10	6.51773344474219e-08	5.56948605344189e-08	Fcgr3/Fcer1g/Cd84/Ifngr1/Lilrb4a/Lilrb4a/Itgb2/Dock2/Havcr2/Abr/Myo18a/Cd300lf/Unc13d/Gpr137b/Syk/Myo1f/Fer/Spi1/Lyn/Tlr6/Rhoh/Clec4d/Ptpn6/Pirb/Tyrobp/Cd33/Ctsc/Mfhas1/Slc7a2/Il15/Casp1/Mmp8/Adam10	33
GO:0051251	GO:0051251	positive regulation of lymphocyte activation	38/720	308/18371	3.94358502379164e-10	8.88996738220459e-08	7.5965900984618e-08	Cd28/Inpp5d/Bcl2/Hlx/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Ighv1-47/Lyst/Cd83/Syk/Mef2c/Gpr183/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfsf14/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Cd38/Rhoh/Bloc1s3/Tyrobp/Adam8/Lamp1/Gas6/Il15/Nod2/Sh3kbp1	38
GO:0002429	GO:0002429	immune response-activating cell surface receptor signaling pathway	30/720	206/18371	5.39274365696228e-10	1.16042038509361e-07	9.91593965249093e-08	Cd28/Bcl2/Fcer1g/Lilrb4a/Lilrb4a/Ube2n/Prkch/Ighv1-47/Syk/Mef2c/Lgals3/Fyb/Nfam1/Nckap1l/Trat1/Fpr2/Tnfrsf21/Rftn1/Blnk/Lyn/Laptm5/Cd38/Tec/C3ar1/Ptpn6/Klri1/C5ar2/Tyrobp/Prkcb/Plekha1	30
GO:0032640	GO:0032640	tumor necrosis factor production	28/720	182/18371	5.65502175872347e-10	1.16395100025204e-07	9.94610920767703e-08	Fcgr3/Fcer1g/Cd84/Ifngr1/Lilrb4a/Lilrb4a/Havcr2/Syk/Pik3r1/Tbc1d23/Cd14/Card9/Il1a/Sirpa/Arhgef2/Tlr6/Gpnmb/Clec4a1/Clec4a3/Clec4a2/Ptpn6/C5ar2/Tyrobp/Cd33/Gas6/Nod2/Cyba/Mmp8	28
GO:0002757	GO:0002757	immune response-activating signal transduction	30/720	207/18371	6.07702815582532e-10	1.19869380373654e-07	1.02429908784372e-07	Cd28/Bcl2/Fcer1g/Lilrb4a/Lilrb4a/Ube2n/Prkch/Ighv1-47/Syk/Mef2c/Lgals3/Fyb/Nfam1/Nckap1l/Trat1/Fpr2/Tnfrsf21/Rftn1/Blnk/Lyn/Laptm5/Cd38/Tec/C3ar1/Ptpn6/Klri1/C5ar2/Tyrobp/Prkcb/Plekha1	30
GO:0002285	GO:0002285	lymphocyte activation involved in immune response	29/720	195/18371	6.33169828855063e-10	1.19897038791995e-07	1.02453543254316e-07	Cd28/Dock10/Fcer1g/Ly9/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Unc13d/Cd180/Lgals3/Ptk2b/Lcp1/Gpr183/Nckap1l/Bcl6/Zfp35/Entpd7/Spi1/Il2/Fgl2/Lfng/Clec4d/Cracr2a/Lamp1/Rab27a	29
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	41/720	358/18371	7.83467647468703e-10	1.42651378581417e-07	1.21897415757985e-07	Cd28/Sell/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Cd83/Sema4d/Syk/Lgals3/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfrsf21/Tnfsf14/Zfp35/Socs6/Fermt3/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Tnfaip8l2/Laptm5/Fgl2/Rhoh/Gpnmb/Ptpn6/Tarm1/Adam8/Il15/Ets1/Nt5e	41
GO:0032675	GO:0032675	regulation of interleukin-6 production	25/720	152/18371	1.14030081532409e-09	1.9993274295349e-07	1.70845069523995e-07	Inpp5d/Rab7b/Fcer1g/Cd84/Lilrb4a/Lilrb4a/Havcr2/Syk/Nckap1l/Cd200r1/Tbc1d23/Card9/Il1a/Sirpa/Arhgef2/Laptm5/Tlr6/Ptpn6/C5ar2/Pou2f2/Tyrobp/Gas6/Nod2/Cyba/Mmp8	25
GO:0050866	GO:0050866	negative regulation of cell activation	30/720	214/18371	1.37139565078782e-09	2.31863821815341e-07	1.98130582179609e-07	Serpine2/Inpp5d/Cd84/Hlx/Lilrb4a/Lilrb4a/Havcr2/Abr/Cd300lf/Lgals3/Nckap1l/Bcl6/Cd86/Samsn1/Runx1/Tnfrsf21/Fer/Zfp35/Socs6/Spi1/Il2/Tnfaip8l2/Lyn/Laptm5/Fgl2/Gpnmb/Ptpn6/Tarm1/Tyrobp/Ubash3b	30
GO:0002695	GO:0002695	negative regulation of leukocyte activation	28/720	192/18371	1.96779579885567e-09	3.21225700406301e-07	2.74491443012789e-07	Inpp5d/Cd84/Hlx/Lilrb4a/Lilrb4a/Havcr2/Abr/Cd300lf/Lgals3/Nckap1l/Bcl6/Cd86/Samsn1/Runx1/Tnfrsf21/Fer/Zfp35/Socs6/Spi1/Il2/Tnfaip8l2/Lyn/Laptm5/Fgl2/Gpnmb/Ptpn6/Tarm1/Tyrobp	28
GO:0001819	GO:0001819	positive regulation of cytokine production	47/720	463/18371	2.49159296079994e-09	3.9317336921423e-07	3.35971640293128e-07	Cd28/Rab7b/Fcgr3/Fcer1g/Ly9/Cd84/Slamf6/Aim2/Ifngr1/Osm/Havcr2/Nlrp3/Nlrp1a/Nlrp1b/Cd300c2/Tmed10/Cd83/Syk/Pik3r1/Cyrib/Nfam1/Mefv/Tbc1d23/Runx1/Rftn1/Gata6/Riok3/Cd14/Card9/Il1a/Il2/Arhgef2/Laptm5/Tlr6/C3ar1/Tarm1/Pou2f2/Tyrobp/Adam8/Irf7/Il15/Nod2/Cyba/Casp1/Mmp12/Mmp8/Smad3	47
GO:0002443	GO:0002443	leukocyte mediated immunity	45/720	434/18371	2.83636305474753e-09	4.33140087134671e-07	3.70123708638192e-07	Cd28/Inpp5d/Sh2d1b1/Fcgr3/Fcer1g/Cd84/Slamf6/Enpp1/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Abr/Unc13d/Ighv1-47/Lyst/Syk/Ppp3cb/Il7r/Cyrib/Csf2rb/Nckap1l/Bcl6/Myo1f/Treml4/Rftn1/Fer/Tcirg1/Card9/Spi1/Il2/Lyn/Fgl2/Ptpn6/Klri1/Pirb/Pou2f2/Tyrobp/Ctsc/Il21r/Irf7/Lamp1/Nod2/Rab27a	45
GO:0001818	GO:0001818	negative regulation of cytokine production	34/720	277/18371	3.80927859518121e-09	5.42239587634914e-07	4.63350618211143e-07	Inpp5d/Sh2d1b1/Cd84/Lilrb4a/Lilrb4a/Srgn/Atp2b1/Havcr2/Nlrp3/Serpinb1b/Cd83/Erbin/Nckap1l/Mefv/Bcl6/Cd200r1/Tnfrsf21/Gata6/Sirpa/Laptm5/Tlr6/Gbp4/Gpnmb/Clec4a1/Clec4a3/Clec4a2/Ptpn6/C5ar2/Tyrobp/Cd33/Gas6/N4bp1/Nod2/Mmp8	34
GO:0031349	GO:0031349	positive regulation of defense response	34/720	277/18371	3.80927859518121e-09	5.42239587634914e-07	4.63350618211143e-07	Cd28/Tnfrsf11a/Sh2d1b1/Fcgr3/Fcer1g/Slamf6/Aim2/Osm/Havcr2/Nlrp1a/Nlrp1b/Pik3cg/Ninj1/Syk/Mef2c/Mefv/Emilin2/Riok3/Card9/Spi1/Tlr6/Alox5ap/Klri1/Tyrobp/Ctsc/Adam8/Irf7/Lamp1/Nod2/Cyba/Casp1/Mmp12/Mmp8/Ets1	34
GO:0032635	GO:0032635	interleukin-6 production	25/720	161/18371	3.89441190950297e-09	5.42239587634914e-07	4.63350618211143e-07	Inpp5d/Rab7b/Fcer1g/Cd84/Lilrb4a/Lilrb4a/Havcr2/Syk/Nckap1l/Cd200r1/Tbc1d23/Card9/Il1a/Sirpa/Arhgef2/Laptm5/Tlr6/Ptpn6/C5ar2/Pou2f2/Tyrobp/Gas6/Nod2/Cyba/Mmp8	25
GO:0030217	GO:0030217	T cell differentiation	34/720	279/18371	4.58869280498454e-09	6.20653478251338e-07	5.30356284197161e-07	Cd28/Bcl2/Fcer1g/Ly9/Slamf6/Hlx/Enpp1/Lilrb4a/Lilrb4a/Psap/Dock2/Nlrp3/Cd83/Syk/Ppp3cb/Gpr183/Il7r/Nckap1l/Bcl6/Runx1/Zfp35/Tcirg1/Entpd7/Spi1/Il1a/Il2/Chd7/Fgl2/Rhoh/Lfng/Clec4d/Cracr2a/Adam8/Il15	34
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	37/720	324/18371	5.74657974748523e-09	7.55675236794308e-07	6.45734092677946e-07	Cd28/Hlx/Lilrb4a/Lilrb4a/Itgb2/Havcr2/Nlrp3/Cd83/Syk/Lgals3/Il7r/Cyrib/Nckap1l/Bcl6/Cd86/Runx1/Rasal3/Tnfrsf21/Tnfsf14/Zfp35/Socs6/Dock8/Il1a/Sirpa/Gm9733/Gm5150/Il2/Tnfaip8l2/Laptm5/Fgl2/Rhoh/Gpnmb/Ptpn6/Tarm1/Adam8/Il15/Ets1	37
GO:0050727	GO:0050727	regulation of inflammatory response	37/720	327/18371	7.37891395902813e-09	9.44102126541599e-07	8.0674726442518e-07	Cd28/Tnfrsf11a/Fcgr3/Fcer1g/Esr1/Osm/Nlrp3/Nlrp1a/Nlrp1b/Abr/Pik3cg/Aoah/Ninj1/F12/Mefv/Bcl6/Cd200r1/Cd200r3/Tbc1d23/Pik3ap1/Abhd12/Il2/Tnfaip8l2/Lyn/Smpdl3b/Tlr6/Alox5ap/Ctsc/Adam8/Mfhas1/Slc7a2/Nod2/Casp1/Mmp8/Ets1/Smad3/Nt5e	37
GO:0030595	GO:0030595	leukocyte chemotaxis	29/720	221/18371	1.19217735685044e-08	1.48520200192895e-06	1.26912398403774e-06	Sell/Fcgr3/Fcer1g/Itgb2/Ccl6/Rin3/Lyst/Edn1/Ninj1/Syk/Lgals3/Ptk2b/Gpr183/Nckap1l/Pla2g7/Tnfsf14/Spi1/Lyn/Padi2/C3ar1/C5ar2/Adam8/F7/Gas6/Mtus1/Nod2/Cxcr5/Adam10/Ccr1	29
GO:0002683	GO:0002683	negative regulation of immune system process	43/720	425/18371	1.33141665164937e-08	1.61613498177131e-06	1.38100787916019e-06	Inpp5d/Sh2d1b1/Fcer1g/Cd84/Hlx/Lilrb4a/Lilrb4a/Havcr2/Abr/Cd300lf/Rin3/Gpr137b/Pik3r1/Ppp3cb/Lgals3/Il7r/Nckap1l/Bcl6/Cd86/Cd200r1/Samsn1/Runx1/Tnfrsf21/Fer/Zfp35/Socs6/Spi1/Il2/Tnfaip8l2/Lyn/Laptm5/Smpdl3b/Padi2/Fgl2/Gpnmb/Ptpn6/Tarm1/C5ar2/Tyrobp/Nod2/Mmp12/Ubash3b/Ccr1	43
GO:0002224	GO:0002224	toll-like receptor signaling pathway	20/720	114/18371	1.69126765034789e-08	2.00161526418673e-06	1.71040567902288e-06	Rab7b/Esr1/Havcr2/Cd300ld3/Cd300lf/Ninj1/Cd180/Cd86/Treml4/Rftn1/Cd14/Pik3ap1/Lyn/Smpdl3b/Tlr6/Irf7/Mfhas1/Nod2/Cyba/Tlr13	20
GO:0002221	GO:0002221	pattern recognition receptor signaling pathway	24/720	164/18371	2.61359110680932e-08	3.01774153649643e-06	2.5786984912627e-06	Rab7b/Esr1/Havcr2/Cd300ld3/Cd300lf/Ninj1/Cd180/Erbin/Cd86/Treml4/Rftn1/Riok3/Cd14/Pik3ap1/Alpk1/Lyn/Smpdl3b/Tlr6/Irf7/Mfhas1/Nod2/Cyba/Casp1/Tlr13	24
GO:0050853	GO:0050853	B cell receptor signaling pathway	15/720	66/18371	2.85370831677043e-08	3.21653694561696e-06	2.74857169457363e-06	Bcl2/Prkch/Ighv1-47/Syk/Mef2c/Nfam1/Nckap1l/Rftn1/Blnk/Lyn/Cd38/Tec/Ptpn6/Prkcb/Plekha1	15
GO:0007162	GO:0007162	negative regulation of cell adhesion	34/720	302/18371	3.40938930258218e-08	3.75349975777303e-06	3.20741324108282e-06	Serpine2/Hlx/Lilrb4a/Lilrb4a/Plxnc1/Havcr2/Gcnt2/Sema4d/Pik3r1/Lgals3/Nckap1l/Bcl6/Cd86/Runx1/Dscam/Myo1f/Tnfrsf21/Zfp35/Socs6/Il1rn/Notch1/Spi1/Il2/Tnfaip8l2/Laptm5/Fgl2/Gpnmb/Plxnd1/Ptpn6/Tarm1/Adam8/Mmp12/Ubash3b/Adam10	34
GO:0050900	GO:0050900	leukocyte migration	38/720	363/18371	3.82861930537391e-08	4.11924631628184e-06	3.51994832309855e-06	Sell/Fcgr3/Fcer1g/Enpp1/Itgb2/Abr/Ccl6/Rin3/Lyst/Edn1/Ninj1/Syk/Lgals3/Ptk2b/Gpr183/Nckap1l/Cd200r1/Pla2g7/Tnfsf14/Fer/Dock8/Itga6/Spi1/Il1a/Sirpa/Lyn/Padi2/Rhoh/C3ar1/C5ar2/Adam8/F7/Gas6/Mtus1/Nod2/Cxcr5/Adam10/Ccr1	38
GO:0002449	GO:0002449	lymphocyte mediated immunity	36/720	334/18371	4.16643910164075e-08	4.38309393492607e-06	3.74540946610653e-06	Cd28/Inpp5d/Sh2d1b1/Fcgr3/Fcer1g/Slamf6/Enpp1/Lilrb4a/Lilrb4a/Havcr2/Nlrp3/Unc13d/Ighv1-47/Lyst/Ppp3cb/Il7r/Cyrib/Csf2rb/Nckap1l/Bcl6/Treml4/Rftn1/Tcirg1/Card9/Il2/Fgl2/Ptpn6/Klri1/Pirb/Pou2f2/Ctsc/Il21r/Irf7/Lamp1/Nod2/Rab27a	36
GO:0030183	GO:0030183	B cell differentiation	22/720	144/18371	4.50670139775547e-08	4.63798356890748e-06	3.96321589738542e-06	Dock10/Inpp5d/Bcl2/Enpp1/Lilrb4a/Lilrb4a/Tshr/Syk/Pik3r1/Ptk2b/Gpr183/Nfam1/Nckap1l/Bcl6/Tcirg1/Spi1/Tpd52/Il2/Laptm5/Lfng/Ptpn6/Pou2f2	22
GO:0051250	GO:0051250	negative regulation of lymphocyte activation	23/720	160/18371	7.13526647315384e-08	7.18688329444899e-06	6.14128310332143e-06	Inpp5d/Hlx/Lilrb4a/Lilrb4a/Havcr2/Lgals3/Nckap1l/Bcl6/Cd86/Samsn1/Runx1/Tnfrsf21/Zfp35/Socs6/Il2/Tnfaip8l2/Lyn/Laptm5/Fgl2/Gpnmb/Ptpn6/Tarm1/Tyrobp	23
GO:0002253	GO:0002253	activation of immune response	33/720	297/18371	7.43680495115108e-08	7.18790828350396e-06	6.14215896949408e-06	Cd28/Bcl2/Fcer1g/Aim2/Lilrb4a/Lilrb4a/Ube2n/Prkch/Ighv1-47/Syk/Mef2c/Lgals3/Fyb/Nfam1/Nckap1l/Trat1/Fpr2/Tnfrsf21/Rftn1/Blnk/Cd5l/Lyn/Laptm5/Cd38/Tec/C3ar1/Ptpn6/Klri1/C5ar2/Tyrobp/Prkcb/Plekha1/Nod2	33
GO:0050851	GO:0050851	antigen receptor-mediated signaling pathway	24/720	173/18371	7.43995576450558e-08	7.18790828350396e-06	6.14215896949408e-06	Cd28/Bcl2/Lilrb4a/Lilrb4a/Ube2n/Prkch/Ighv1-47/Syk/Mef2c/Lgals3/Fyb/Nfam1/Nckap1l/Trat1/Tnfrsf21/Rftn1/Blnk/Lyn/Laptm5/Cd38/Tec/Ptpn6/Prkcb/Plekha1	24
